CustomerID,Age,Age_Scaled,Gender_Encoded,MS_Divorced,MS_Married,MS_Single,MS_Widowed,IncomeLevel_Ordinal,AG_18–29,AG_30–44,AG_45–59,AG_60–69
81,18,-1.6585177462065699,1,0,0,0,1,0,1,0,0,0
82,32,-0.7395622529983547,1,1,0,0,0,2,0,1,0,0
83,53,0.6388709868139684,0,0,0,0,1,1,0,0,1,0
84,30,-0.8708416091709568,0,1,0,0,0,1,0,1,0,0
85,60,1.098348733418076,0,0,1,0,0,2,0,0,0,1
86,38,-0.34572418448054804,0,0,1,0,0,0,0,1,0,0
87,29,-0.9364812872572579,1,0,0,1,0,2,1,0,0,0
88,22,-1.3959590338613654,0,0,0,1,0,2,1,0,0,0
89,24,-1.2646796776887634,0,0,0,1,0,1,1,0,0,0
90,22,-1.3959590338613654,0,0,1,0,0,1,1,0,0,0
91,65,1.4265471238495815,1,0,0,0,1,0,0,0,0,1
92,21,-1.4615987119476666,1,1,0,0,0,0,1,0,0,0
93,30,-0.8708416091709568,1,0,1,0,0,0,0,1,0,0
94,54,0.7045106649002695,0,0,0,0,1,2,0,0,1,0
95,58,0.9670693772454738,1,0,0,1,0,2,0,0,1,0
96,32,-0.7395622529983547,1,1,0,0,0,2,0,1,0,0
97,33,-0.6739225749120535,0,0,0,1,0,2,0,1,0,0
98,38,-0.34572418448054804,1,1,0,0,0,0,0,1,0,0
99,53,0.6388709868139684,0,0,0,0,1,0,0,0,1,0
100,41,-0.14880515022164478,1,0,1,0,0,0,0,1,0,0
101,33,-0.6739225749120535,1,0,0,1,0,2,0,1,0,0
102,31,-0.8052019310846557,0,0,1,0,0,2,0,1,0,0
103,39,-0.280084506394247,0,0,0,0,1,0,0,1,0,0
104,66,1.4921868019358826,1,0,0,0,1,1,0,0,0,1
105,67,1.5578264800221837,1,0,0,0,1,0,0,0,0,1
106,23,-1.3303193557750645,0,0,1,0,0,2,1,0,0,0
107,59,1.0327090553317748,1,0,1,0,0,2,0,0,1,0
108,53,0.6388709868139684,0,1,0,0,0,0,0,0,1,0
109,18,-1.6585177462065699,0,0,1,0,0,1,1,0,0,0
110,49,0.376312274468764,0,0,1,0,0,1,0,0,1,0
111,23,-1.3303193557750645,1,0,0,0,1,2,1,0,0,0
112,48,0.31067259638246286,1,1,0,0,0,2,0,0,1,0
113,18,-1.6585177462065699,1,0,1,0,0,2,1,0,0,0
114,67,1.5578264800221837,1,0,1,0,0,0,0,0,0,1
115,68,1.6234661581084848,1,0,0,0,1,2,0,0,0,1
116,54,0.7045106649002695,0,0,1,0,0,2,0,0,1,0
117,52,0.5732313087276673,1,0,0,0,1,2,0,0,1,0
118,66,1.4921868019358826,0,1,0,0,0,1,0,0,0,1
119,47,0.24503291829616178,0,0,0,0,1,1,0,0,1,0
120,21,-1.4615987119476666,1,0,0,0,1,2,1,0,0,0
121,52,0.5732313087276673,0,1,0,0,0,1,0,0,1,0
122,60,1.098348733418076,1,0,0,1,0,1,0,0,0,1
123,31,-0.8052019310846557,0,0,0,0,1,1,0,1,0,0
124,66,1.4921868019358826,0,0,1,0,0,1,0,0,0,1
125,57,0.9014296991591727,0,0,0,0,1,0,0,0,1,0
126,39,-0.280084506394247,1,1,0,0,0,1,0,1,0,0
127,27,-1.06776064342986,1,0,1,0,0,1,1,0,0,0
128,18,-1.6585177462065699,1,1,0,0,0,1,1,0,0,0
129,28,-1.002120965343559,1,0,0,0,1,1,1,0,0,0
130,68,1.6234661581084848,0,1,0,0,0,0,0,0,0,1
131,61,1.163988411504377,1,1,0,0,0,0,0,0,0,1
132,41,-0.14880515022164478,1,0,0,1,0,2,0,1,0,0
133,20,-1.5272383900339677,0,0,0,0,1,1,1,0,0,0
134,52,0.5732313087276673,0,0,0,0,1,1,0,0,1,0
135,53,0.6388709868139684,1,0,0,0,1,2,0,0,1,0
136,48,0.31067259638246286,0,0,0,0,1,0,0,0,1,0
137,21,-1.4615987119476666,1,0,1,0,0,2,1,0,0,0
138,36,-0.47700354065315026,0,1,0,0,0,0,0,1,0,0
139,64,1.3609074457632804,1,0,0,0,1,2,0,0,0,1
140,53,0.6388709868139684,0,0,1,0,0,2,0,0,1,0
141,38,-0.34572418448054804,1,0,0,0,1,1,0,1,0,0
142,35,-0.5426432187394513,0,1,0,0,0,2,0,1,0,0
143,68,1.6234661581084848,1,0,0,0,1,0,0,0,0,1
144,45,0.1137535621235596,1,0,1,0,0,0,0,0,1,0
145,32,-0.7395622529983547,1,0,1,0,0,2,0,1,0,0
146,59,1.0327090553317748,1,1,0,0,0,0,0,0,1,0
147,19,-1.5928780681202688,1,0,0,0,1,2,1,0,0,0
148,54,0.7045106649002695,1,0,1,0,0,1,0,0,1,0
149,28,-1.002120965343559,0,0,0,1,0,1,1,0,0,0
150,40,-0.21444482830794587,1,0,0,0,1,1,0,1,0,0
151,61,1.163988411504377,0,0,0,1,0,1,0,0,0,1
152,58,0.9670693772454738,1,0,1,0,0,2,0,0,1,0
153,29,-0.9364812872572579,0,0,1,0,0,0,1,0,0,0
154,20,-1.5272383900339677,1,1,0,0,0,2,1,0,0,0
155,69,1.689105836194786,0,1,0,0,0,0,0,0,0,1
156,34,-0.6082828968257524,1,0,0,0,1,2,0,1,0,0
157,50,0.4419519525550651,0,0,1,0,0,0,0,0,1,0
158,18,-1.6585177462065699,1,0,1,0,0,0,1,0,0,0
159,56,0.8357900210728716,0,0,1,0,0,2,0,0,1,0
160,37,-0.41136386256684915,0,0,1,0,0,1,0,1,0,0
161,64,1.3609074457632804,0,0,0,1,0,2,0,0,0,1
162,60,1.098348733418076,1,0,1,0,0,1,0,0,0,1
163,69,1.689105836194786,0,1,0,0,0,2,0,0,0,1
164,58,0.9670693772454738,1,0,0,0,1,0,0,0,1,0
165,31,-0.8052019310846557,1,0,0,0,1,1,0,1,0,0
166,48,0.31067259638246286,1,0,0,0,1,0,0,0,1,0
167,42,-0.08316547213534368,1,0,0,1,0,0,0,1,0,0
168,20,-1.5272383900339677,0,0,1,0,0,0,1,0,0,0
169,21,-1.4615987119476666,1,0,0,0,1,2,1,0,0,0
170,48,0.31067259638246286,0,1,0,0,0,0,0,0,1,0
171,52,0.5732313087276673,1,0,0,1,0,2,0,0,1,0
172,61,1.163988411504377,0,0,1,0,0,1,0,0,0,1
173,31,-0.8052019310846557,1,0,1,0,0,0,0,1,0,0
174,66,1.4921868019358826,1,0,1,0,0,1,0,0,0,1
175,58,0.9670693772454738,0,0,1,0,0,1,0,0,1,0
176,26,-1.1334003215161612,1,0,0,1,0,2,1,0,0,0
177,37,-0.41136386256684915,1,1,0,0,0,1,0,1,0,0
178,49,0.376312274468764,1,0,1,0,0,2,0,0,1,0
179,26,-1.1334003215161612,1,0,0,1,0,2,1,0,0,0
180,44,0.048113884037258504,1,0,0,1,0,1,0,1,0,0
181,20,-1.5272383900339677,1,1,0,0,0,1,1,0,0,0
182,21,-1.4615987119476666,1,0,0,1,0,1,1,0,0,0
183,62,1.2296280895906782,1,0,0,1,0,2,0,0,0,1
184,32,-0.7395622529983547,0,0,0,0,1,2,0,1,0,0
185,50,0.4419519525550651,1,0,0,0,1,1,0,0,1,0
186,22,-1.3959590338613654,0,1,0,0,0,2,1,0,0,0
187,21,-1.4615987119476666,1,0,0,0,1,1,1,0,0,0
188,63,1.2952677676769793,0,0,0,1,0,2,0,0,0,1
189,29,-0.9364812872572579,0,0,0,1,0,2,1,0,0,0
190,40,-0.21444482830794587,0,1,0,0,0,0,0,1,0,0
191,31,-0.8052019310846557,1,0,0,1,0,0,0,1,0,0
192,63,1.2952677676769793,1,1,0,0,0,1,0,0,0,1
193,29,-0.9364812872572579,0,0,0,0,1,0,1,0,0,0
194,34,-0.6082828968257524,1,0,0,0,1,2,0,1,0,0
195,42,-0.08316547213534368,1,0,1,0,0,1,0,1,0,0
196,47,0.24503291829616178,0,0,0,0,1,0,0,0,1,0
197,39,-0.280084506394247,1,0,1,0,0,1,0,1,0,0
198,64,1.3609074457632804,0,0,1,0,0,1,0,0,0,1
199,43,-0.01752579404904259,0,0,1,0,0,2,0,1,0,0
200,34,-0.6082828968257524,1,0,0,1,0,0,0,1,0,0
201,37,-0.41136386256684915,0,0,1,0,0,2,0,1,0,0
202,51,0.5075916306413661,1,0,0,0,1,1,0,0,1,0
203,58,0.9670693772454738,1,1,0,0,0,1,0,0,1,0
204,50,0.4419519525550651,1,0,0,0,1,1,0,0,1,0
205,54,0.7045106649002695,1,1,0,0,0,0,0,0,1,0
206,24,-1.2646796776887634,0,0,0,0,1,2,1,0,0,0
207,39,-0.280084506394247,1,1,0,0,0,2,0,1,0,0
208,49,0.376312274468764,1,0,0,0,1,0,0,0,1,0
209,31,-0.8052019310846557,1,1,0,0,0,2,0,1,0,0
210,25,-1.1990399996024623,0,0,1,0,0,2,1,0,0,0
211,42,-0.08316547213534368,0,1,0,0,0,1,0,1,0,0
212,33,-0.6739225749120535,1,0,1,0,0,1,0,1,0,0
213,59,1.0327090553317748,1,0,0,0,1,1,0,0,1,0
214,36,-0.47700354065315026,1,1,0,0,0,0,0,1,0,0
215,58,0.9670693772454738,1,1,0,0,0,1,0,0,1,0
216,33,-0.6739225749120535,1,0,0,0,1,2,0,1,0,0
217,29,-0.9364812872572579,0,0,1,0,0,0,1,0,0,0
218,56,0.8357900210728716,1,0,1,0,0,2,0,0,1,0
219,65,1.4265471238495815,0,0,0,1,0,0,0,0,0,1
220,47,0.24503291829616178,0,0,0,1,0,2,0,0,1,0
221,19,-1.5928780681202688,1,0,0,1,0,0,1,0,0,0
222,49,0.376312274468764,0,1,0,0,0,2,0,0,1,0
223,62,1.2296280895906782,1,1,0,0,0,1,0,0,0,1
224,42,-0.08316547213534368,0,1,0,0,0,0,0,1,0,0
225,42,-0.08316547213534368,0,0,0,0,1,2,0,1,0,0
226,21,-1.4615987119476666,1,0,0,1,0,2,1,0,0,0
227,36,-0.47700354065315026,0,0,0,0,1,2,0,1,0,0
228,65,1.4265471238495815,1,0,0,1,0,2,0,0,0,1
229,21,-1.4615987119476666,1,0,0,1,0,1,1,0,0,0
230,60,1.098348733418076,1,1,0,0,0,1,0,0,0,1
231,30,-0.8708416091709568,1,0,1,0,0,0,0,1,0,0
232,56,0.8357900210728716,1,0,0,1,0,0,0,0,1,0
233,53,0.6388709868139684,1,0,1,0,0,2,0,0,1,0
234,40,-0.21444482830794587,0,0,0,0,1,0,0,1,0,0
235,23,-1.3303193557750645,0,1,0,0,0,2,1,0,0,0
236,41,-0.14880515022164478,1,0,0,1,0,0,0,1,0,0
237,61,1.163988411504377,0,1,0,0,0,0,0,0,0,1
238,50,0.4419519525550651,0,0,0,0,1,2,0,0,1,0
239,29,-0.9364812872572579,1,0,1,0,0,1,1,0,0,0
240,58,0.9670693772454738,0,1,0,0,0,2,0,0,1,0
241,38,-0.34572418448054804,1,1,0,0,0,1,0,1,0,0
242,28,-1.002120965343559,1,0,0,1,0,0,1,0,0,0
243,61,1.163988411504377,0,0,1,0,0,1,0,0,0,1
244,55,0.7701503429865705,1,0,0,0,1,2,0,0,1,0
245,46,0.1793932402098607,1,0,0,1,0,0,0,0,1,0
246,65,1.4265471238495815,1,1,0,0,0,1,0,0,0,1
247,58,0.9670693772454738,1,1,0,0,0,1,0,0,1,0
248,20,-1.5272383900339677,0,0,1,0,0,2,1,0,0,0
249,45,0.1137535621235596,1,0,0,0,1,0,0,0,1,0
250,37,-0.41136386256684915,0,0,0,0,1,0,0,1,0,0
251,43,-0.01752579404904259,1,1,0,0,0,1,0,1,0,0
252,41,-0.14880515022164478,0,0,0,0,1,1,0,1,0,0
253,69,1.689105836194786,0,0,0,1,0,1,0,0,0,1
254,64,1.3609074457632804,1,0,1,0,0,0,0,0,0,1
255,38,-0.34572418448054804,0,1,0,0,0,1,0,1,0,0
256,47,0.24503291829616178,1,0,0,0,1,1,0,0,1,0
257,21,-1.4615987119476666,1,0,0,0,1,0,1,0,0,0
258,53,0.6388709868139684,0,0,0,1,0,0,0,0,1,0
259,57,0.9014296991591727,0,0,0,0,1,2,0,0,1,0
260,27,-1.06776064342986,0,0,0,1,0,0,1,0,0,0
261,27,-1.06776064342986,0,0,1,0,0,0,1,0,0,0
262,59,1.0327090553317748,1,1,0,0,0,2,0,0,1,0
263,41,-0.14880515022164478,0,0,0,1,0,0,0,1,0,0
264,21,-1.4615987119476666,1,0,0,0,1,2,1,0,0,0
265,64,1.3609074457632804,0,0,0,0,1,0,0,0,0,1
266,44,0.048113884037258504,0,0,1,0,0,2,0,1,0,0
267,68,1.6234661581084848,1,0,0,1,0,1,0,0,0,1
268,62,1.2296280895906782,0,1,0,0,0,1,0,0,0,1
269,21,-1.4615987119476666,1,0,0,0,1,1,1,0,0,0
270,49,0.376312274468764,0,0,0,1,0,2,0,0,1,0
271,27,-1.06776064342986,0,0,0,0,1,1,1,0,0,0
272,28,-1.002120965343559,1,1,0,0,0,0,1,0,0,0
273,45,0.1137535621235596,1,0,0,1,0,2,0,0,1,0
274,63,1.2952677676769793,1,0,0,0,1,0,0,0,0,1
275,25,-1.1990399996024623,1,1,0,0,0,0,1,0,0,0
276,57,0.9014296991591727,1,0,0,1,0,0,0,0,1,0
277,39,-0.280084506394247,1,0,0,1,0,2,0,1,0,0
278,51,0.5075916306413661,1,0,1,0,0,0,0,0,1,0
279,62,1.2296280895906782,0,1,0,0,0,1,0,0,0,1
280,52,0.5732313087276673,1,0,0,1,0,2,0,0,1,0
281,52,0.5732313087276673,0,0,1,0,0,1,0,0,1,0
282,42,-0.08316547213534368,0,0,0,1,0,2,0,1,0,0
283,51,0.5075916306413661,1,0,0,0,1,0,0,0,1,0
284,23,-1.3303193557750645,0,0,1,0,0,1,1,0,0,0
285,58,0.9670693772454738,0,0,0,1,0,2,0,0,1,0
286,54,0.7045106649002695,1,0,0,0,1,0,0,0,1,0
287,18,-1.6585177462065699,0,0,0,0,1,0,1,0,0,0
288,29,-0.9364812872572579,1,0,0,0,1,2,1,0,0,0
289,52,0.5732313087276673,0,0,1,0,0,2,0,0,1,0
290,23,-1.3303193557750645,0,0,0,0,1,2,1,0,0,0
291,34,-0.6082828968257524,1,1,0,0,0,2,0,1,0,0
292,26,-1.1334003215161612,0,0,0,1,0,1,1,0,0,0
293,19,-1.5928780681202688,0,1,0,0,0,2,1,0,0,0
294,35,-0.5426432187394513,1,0,0,0,1,0,0,1,0,0
295,66,1.4921868019358826,1,0,0,0,1,1,0,0,0,1
296,53,0.6388709868139684,0,1,0,0,0,0,0,0,1,0
297,45,0.1137535621235596,0,0,1,0,0,0,0,0,1,0
298,58,0.9670693772454738,1,0,0,0,1,2,0,0,1,0
299,54,0.7045106649002695,0,0,0,0,1,1,0,0,1,0
300,66,1.4921868019358826,1,1,0,0,0,2,0,0,0,1
301,43,-0.01752579404904259,1,0,0,0,1,0,0,1,0,0
302,21,-1.4615987119476666,0,0,0,0,1,2,1,0,0,0
303,57,0.9014296991591727,1,0,1,0,0,2,0,0,1,0
304,53,0.6388709868139684,1,0,1,0,0,2,0,0,1,0
305,68,1.6234661581084848,0,0,1,0,0,2,0,0,0,1
306,48,0.31067259638246286,1,0,1,0,0,2,0,0,1,0
307,47,0.24503291829616178,0,0,1,0,0,2,0,0,1,0
308,67,1.5578264800221837,0,0,0,0,1,1,0,0,0,1
309,51,0.5075916306413661,0,0,0,1,0,2,0,0,1,0
310,36,-0.47700354065315026,1,0,0,0,1,1,0,1,0,0
311,35,-0.5426432187394513,0,0,0,0,1,2,0,1,0,0
312,47,0.24503291829616178,0,0,0,1,0,1,0,0,1,0
313,38,-0.34572418448054804,0,1,0,0,0,0,0,1,0,0
314,20,-1.5272383900339677,0,0,0,1,0,1,1,0,0,0
315,23,-1.3303193557750645,1,0,1,0,0,1,1,0,0,0
316,55,0.7701503429865705,1,0,0,0,1,0,0,0,1,0
317,30,-0.8708416091709568,0,0,1,0,0,2,0,1,0,0
318,62,1.2296280895906782,1,0,0,1,0,2,0,0,0,1
319,20,-1.5272383900339677,1,1,0,0,0,1,1,0,0,0
320,65,1.4265471238495815,1,1,0,0,0,2,0,0,0,1
321,45,0.1137535621235596,0,0,0,0,1,2,0,0,1,0
322,39,-0.280084506394247,1,0,0,1,0,0,0,1,0,0
323,57,0.9014296991591727,1,0,1,0,0,2,0,0,1,0
324,57,0.9014296991591727,1,0,1,0,0,2,0,0,1,0
325,29,-0.9364812872572579,1,1,0,0,0,1,1,0,0,0
326,40,-0.21444482830794587,1,0,0,0,1,2,0,1,0,0
327,48,0.31067259638246286,0,0,0,1,0,2,0,0,1,0
328,35,-0.5426432187394513,1,0,1,0,0,1,0,1,0,0
329,24,-1.2646796776887634,1,1,0,0,0,1,1,0,0,0
330,25,-1.1990399996024623,0,0,0,0,1,1,1,0,0,0
331,36,-0.47700354065315026,0,1,0,0,0,2,0,1,0,0
332,46,0.1793932402098607,0,0,0,0,1,2,0,0,1,0
333,61,1.163988411504377,0,0,0,1,0,2,0,0,0,1
334,37,-0.41136386256684915,1,1,0,0,0,2,0,1,0,0
335,67,1.5578264800221837,1,0,1,0,0,2,0,0,0,1
336,59,1.0327090553317748,1,0,0,0,1,2,0,0,1,0
337,47,0.24503291829616178,1,1,0,0,0,1,0,0,1,0
338,64,1.3609074457632804,1,0,0,0,1,1,0,0,0,1
339,39,-0.280084506394247,0,1,0,0,0,2,0,1,0,0
340,27,-1.06776064342986,1,1,0,0,0,0,1,0,0,0
341,43,-0.01752579404904259,0,0,0,1,0,1,0,1,0,0
342,68,1.6234661581084848,0,0,1,0,0,2,0,0,0,1
343,50,0.4419519525550651,0,1,0,0,0,1,0,0,1,0
344,45,0.1137535621235596,1,0,0,1,0,0,0,0,1,0
345,27,-1.06776064342986,1,0,0,0,1,1,1,0,0,0
346,46,0.1793932402098607,0,0,0,0,1,1,0,0,1,0
347,61,1.163988411504377,0,1,0,0,0,1,0,0,0,1
348,35,-0.5426432187394513,0,0,1,0,0,1,0,1,0,0
349,59,1.0327090553317748,0,0,0,0,1,2,0,0,1,0
350,18,-1.6585177462065699,0,1,0,0,0,0,1,0,0,0
351,40,-0.21444482830794587,0,0,0,0,1,2,0,1,0,0
352,34,-0.6082828968257524,1,0,0,1,0,1,0,1,0,0
353,60,1.098348733418076,0,1,0,0,0,1,0,0,0,1
354,54,0.7045106649002695,0,1,0,0,0,1,0,0,1,0
355,48,0.31067259638246286,0,1,0,0,0,0,0,0,1,0
356,42,-0.08316547213534368,0,0,0,1,0,0,0,1,0,0
357,21,-1.4615987119476666,0,1,0,0,0,2,1,0,0,0
358,69,1.689105836194786,1,1,0,0,0,1,0,0,0,1
359,26,-1.1334003215161612,0,0,0,1,0,0,1,0,0,0
360,45,0.1137535621235596,1,0,0,0,1,1,0,0,1,0
361,47,0.24503291829616178,0,0,0,1,0,2,0,0,1,0
362,64,1.3609074457632804,0,0,1,0,0,2,0,0,0,1
363,41,-0.14880515022164478,1,0,0,1,0,0,0,1,0,0
364,50,0.4419519525550651,0,0,0,0,1,2,0,0,1,0
365,37,-0.41136386256684915,1,1,0,0,0,0,0,1,0,0
366,26,-1.1334003215161612,1,1,0,0,0,1,1,0,0,0
367,25,-1.1990399996024623,1,0,0,1,0,0,1,0,0,0
368,41,-0.14880515022164478,1,0,1,0,0,2,0,1,0,0
369,31,-0.8052019310846557,1,0,0,1,0,1,0,1,0,0
370,35,-0.5426432187394513,1,0,1,0,0,2,0,1,0,0
371,18,-1.6585177462065699,0,0,0,1,0,1,1,0,0,0
372,29,-0.9364812872572579,1,0,1,0,0,1,1,0,0,0
373,46,0.1793932402098607,0,0,1,0,0,1,0,0,1,0
374,54,0.7045106649002695,0,1,0,0,0,1,0,0,1,0
375,43,-0.01752579404904259,1,0,1,0,0,2,0,1,0,0
376,50,0.4419519525550651,1,1,0,0,0,0,0,0,1,0
377,60,1.098348733418076,1,0,0,1,0,1,0,0,0,1
378,32,-0.7395622529983547,0,0,0,1,0,2,0,1,0,0
379,40,-0.21444482830794587,1,0,0,1,0,2,0,1,0,0
380,46,0.1793932402098607,1,0,0,1,0,2,0,0,1,0
381,38,-0.34572418448054804,0,0,0,1,0,0,0,1,0,0
382,36,-0.47700354065315026,1,1,0,0,0,2,0,1,0,0
383,22,-1.3959590338613654,0,0,0,1,0,2,1,0,0,0
384,40,-0.21444482830794587,1,0,1,0,0,0,0,1,0,0
385,53,0.6388709868139684,0,0,0,0,1,2,0,0,1,0
386,37,-0.41136386256684915,1,1,0,0,0,2,0,1,0,0
387,25,-1.1990399996024623,0,0,1,0,0,0,1,0,0,0
388,26,-1.1334003215161612,1,0,0,0,1,0,1,0,0,0
389,31,-0.8052019310846557,1,0,0,0,1,0,0,1,0,0
390,23,-1.3303193557750645,0,1,0,0,0,1,1,0,0,0
391,18,-1.6585177462065699,1,0,1,0,0,0,1,0,0,0
392,26,-1.1334003215161612,1,0,0,0,1,1,1,0,0,0
393,33,-0.6739225749120535,0,0,0,0,1,1,0,1,0,0
394,33,-0.6739225749120535,0,1,0,0,0,0,0,1,0,0
395,29,-0.9364812872572579,1,0,0,1,0,1,1,0,0,0
396,22,-1.3959590338613654,0,0,0,0,1,2,1,0,0,0
397,57,0.9014296991591727,1,1,0,0,0,2,0,0,1,0
398,46,0.1793932402098607,1,1,0,0,0,0,0,0,1,0
399,63,1.2952677676769793,0,0,1,0,0,1,0,0,0,1
400,44,0.048113884037258504,0,1,0,0,0,2,0,1,0,0
401,28,-1.002120965343559,1,1,0,0,0,1,1,0,0,0
402,64,1.3609074457632804,0,0,0,1,0,1,0,0,0,1
403,67,1.5578264800221837,1,0,0,0,1,2,0,0,0,1
404,45,0.1137535621235596,0,0,1,0,0,0,0,0,1,0
405,69,1.689105836194786,1,1,0,0,0,1,0,0,0,1
406,53,0.6388709868139684,1,0,1,0,0,2,0,0,1,0
407,59,1.0327090553317748,1,0,0,0,1,0,0,0,1,0
408,36,-0.47700354065315026,1,1,0,0,0,1,0,1,0,0
409,52,0.5732313087276673,1,1,0,0,0,1,0,0,1,0
410,69,1.689105836194786,1,0,1,0,0,1,0,0,0,1
411,48,0.31067259638246286,1,0,0,1,0,1,0,0,1,0
412,61,1.163988411504377,0,0,0,0,1,0,0,0,0,1
413,36,-0.47700354065315026,0,0,0,0,1,1,0,1,0,0
